step_file	step_line	baseline	cited_file	old_range	new_range	method	flag	texts_equal	baseline_text	head_text	why
adocs/plan_todo/S082_datagen_qsearch_leaf_labels.md	48	38ad4fe	src/search.cpp	29-29	27-27	HAND	DRIFT	no	// comment that says what each one is for. S073.	// MAX_QSEARCH_DEPTH, RFP_MARGIN, RFP_MAX_DEPTH, RFP_MIN_PLY, NULL_MOVE_BASE,	the same comment block, reflowed: line 27 is the line that names MAX_QSEARCH_DEPTH and says it lives in search_params.hpp. The sentence's claim that the value is 8 is not this step's to touch -- src/s
adocs/plan_todo/S091_see_pruning_main_search.md	5	7b54f18	src/search.cpp	332-333	481-482	BLOCK	DRIFT	yes	if (!in_check && !capture_cannot_lose(&game->board, moves[i]) && !see_ge(&game->board, moves[i], 0)) {	if (!in_check && !capture_cannot_lose(&game->board, moves[i]) && !see_ge(&game->board, moves[i], 0)) {	exact block, unique
adocs/plan_todo/S091_see_pruning_main_search.md	104	7b54f18	tests/test_search.cpp	2262-2262	3183-3183	BLOCK	ANCHOR	yes	TEST_SUITE("search: static exchange evaluation")	TEST_SUITE("search: static exchange evaluation")	exact block, unique
adocs/plan_todo/S091_see_pruning_main_search.md	105	7b54f18	tests/test_search.cpp	2354-2354	3275-3275	BLOCK	ANCHOR	yes	TEST_SUITE("search: see_ge agrees with see")	TEST_SUITE("search: see_ge agrees with see")	exact block, unique
adocs/plan_todo/S091_see_pruning_main_search.md	112	7b54f18	src/search.cpp	332-335	481-484	BLOCK	DRIFT	yes	if (!in_check && !capture_cannot_lose(&game->board, moves[i]) && !see_ge(&game->board, moves[i], 0)) { continue; }	if (!in_check && !capture_cannot_lose(&game->board, moves[i]) && !see_ge(&game->board, moves[i], 0)) { continue; }	exact block, unique
adocs/plan_todo/S091_see_pruning_main_search.md	117	7b54f18	src/search.cpp	645-645	896-896	BLOCK	DRIFT	yes	for (size_t i = 0;; ++i) {	for (size_t i = 0;; ++i) {	exact block, unique
adocs/plan_todo/S091_see_pruning_main_search.md	167	7b54f18	tests/test_search.cpp	1887-1887	2808-2808	BLOCK	ANCHOR	yes	TEST_CASE_FIXTURE(search_fixture_t, "pruning does not hide a forced mate")	TEST_CASE_FIXTURE(search_fixture_t, "pruning does not hide a forced mate")	exact block, unique
adocs/plan_todo/S095_internal_iterative_reduction.md	82	7b54f18	src/search.cpp	455-455	663-663	HAND	DRIFT	yes	const tt_entry_t* tt_entry = tt_get_entry(state->tt, &game->board);	const tt_entry_t* tt_entry = tt_get_entry(state->tt, &game->board);	negamax's tt_get_entry, not quiescence's at 318: the sentence is about the main search's probe, which is what an internal iterative reduction reads.
adocs/plan_todo/S095_internal_iterative_reduction.md	129	7b54f18	tests/test_search.cpp	1887-1887	2808-2808	BLOCK	ANCHOR	yes	TEST_CASE_FIXTURE(search_fixture_t, "pruning does not hide a forced mate")	TEST_CASE_FIXTURE(search_fixture_t, "pruning does not hide a forced mate")	exact block, unique
adocs/plan_todo/S095_internal_iterative_reduction.md	130	7b54f18	tests/test_search.cpp	1926-1926	2847-2847	TITLE	ANCHOR	yes	TEST_CASE_FIXTURE(search_fixture_t,	TEST_CASE_FIXTURE(search_fixture_t,	title "pruning does not hide a mate against the material leader" opens at 2847
adocs/plan_todo/S095_internal_iterative_reduction.md	167	7b54f18	src/transposition_table.cpp	124-124	158-158	BLOCK	DRIFT	yes	if (entry->generation != tt->generation || depth >= entry->depth) {	if (entry->generation != tt->generation || depth >= entry->depth) {	exact block, unique
adocs/plan_todo/S097_singular_extensions.md	5	373e953	src/search.cpp	710-710	961-961	BLOCK	DRIFT	yes	!MOVE_PROMOTED(moves[i]) && !is_in_check && !is_check_move) {	!MOVE_PROMOTED(moves[i]) && !is_in_check && !is_check_move) {	exact block, unique
adocs/plan_todo/S097_singular_extensions.md	124	373e953	src/search.hpp	47-54	58-65	BLOCK	DRIFT	yes	int negamax(int alpha0, int beta, int depth, size_t ply, game_t* game, search_state_t* state, move_t prev_move, bool is_pv);	int negamax(int alpha0, int beta, int depth, size_t ply, game_t* game, search_state_t* state, move_t prev_move, bool is_pv);	exact block, unique
adocs/plan_todo/S097_singular_extensions.md	124	373e953	src/search.cpp	411-418	589-596	BLOCK	DRIFT	yes	int negamax(int alpha0, int beta, int depth, size_t ply, game_t* game, search_state_t* state, move_t prev_move, bool is_pv)	int negamax(int alpha0, int beta, int depth, size_t ply, game_t* game, search_state_t* state, move_t prev_move, bool is_pv)	exact block, unique
adocs/plan_todo/S097_singular_extensions.md	125	373e953	src/data_structures.hpp	441-460	447-483	HAND	DRIFT	no	struct search_state_t { std::atomic_bool* stop = nullptr; // Set when the search gave up mid-tree. Everything above the abort point // must be discarded rather than stored. bool aborted = false; uint6	struct search_state_t { std::atomic_bool* stop = nullptr; // Set when the search gave up mid-tree. Everything above the abort point // must be discarded rather than stored. bool aborted = false; uint6	struct search_state_t whole, which is what the sentence cites it for. It opens at 447 and closes at 483.
adocs/plan_todo/S097_singular_extensions.md	138	373e953	src/data_structures.hpp	388-414	388-420	HAND	DRIFT	no	struct tt_entry_t { uint64_t key; int32_t score; move_t best_move; int16_t depth; // The static evaluation of this position, or TT_EVAL_NONE where the node // that wrote the entry never had one to rec	struct tt_entry_t { uint64_t key; int32_t score; move_t best_move; int16_t depth; // The static evaluation of this position, or TT_EVAL_NONE where no node that // wrote the entry ever had one to recor	struct tt_entry_t whole. It still opens at 388 and now closes at 420; the old range stopped six lines short of the closing brace.
adocs/plan_todo/S097_singular_extensions.md	206	373e953	tests/test_search.cpp	1887-1887	2808-2808	TITLE	ANCHOR	no	REQUIRE_FALSE(result.mate_found);	TEST_CASE_FIXTURE(search_fixture_t, "pruning does not hide a forced mate")	title "pruning does not hide a forced mate" opens at 2808
adocs/plan_todo/S097_singular_extensions.md	207	373e953	tests/test_search.cpp	1926-1926	2847-2847	TITLE	ANCHOR	no	const search_t white = search_fen(MATE_IN_2_W_POS, depth);	TEST_CASE_FIXTURE(search_fixture_t,	title "pruning does not hide a mate against the material leader" opens at 2847
adocs/plan_todo/S097_singular_extensions.md	217	373e953	tests/test_search.cpp	1887-1887	2808-2808	TITLE	ANCHOR	no	REQUIRE_FALSE(result.mate_found);	TEST_CASE_FIXTURE(search_fixture_t, "pruning does not hide a forced mate")	title "pruning does not hide a forced mate" opens at 2808
adocs/plan_todo/S098_reduction_refinement.md	44	6e0afa0	src/search.cpp	42-56	96-110	BLOCK	DRIFT	yes	static lmr_table_t build_lmr_table() { lmr_table_t table{}; for (int depth = 1; depth < 64; ++depth) { for (int move_number = 1; move_number < 64; ++move_number) { const double r = (LMR_BASE / 100.0) 	static lmr_table_t build_lmr_table() { lmr_table_t table{}; for (int depth = 1; depth < 64; ++depth) { for (int move_number = 1; move_number < 64; ++move_number) { const double r = (LMR_BASE / 100.0) 	exact block, unique
adocs/plan_todo/S098_reduction_refinement.md	115	6e0afa0	src/search.cpp	42-76	96-130	BLOCK	DRIFT	yes	static lmr_table_t build_lmr_table() { lmr_table_t table{}; for (int depth = 1; depth < 64; ++depth) { for (int move_number = 1; move_number < 64; ++move_number) { const double r = (LMR_BASE / 100.0) 	static lmr_table_t build_lmr_table() { lmr_table_t table{}; for (int depth = 1; depth < 64; ++depth) { for (int move_number = 1; move_number < 64; ++move_number) { const double r = (LMR_BASE / 100.0) 	exact block, unique
adocs/plan_todo/S098_reduction_refinement.md	120	6e0afa0	src/search_params.hpp	158-159	194-195	BLOCK	DRIFT	yes	X(LMR_BASE, "LmrBase", 52, 0, 400) \ X(LMR_DIVISOR, "LmrDivisor", 182, 1, 2000) \	X(LMR_BASE, "LmrBase", 52, 0, 400) \ X(LMR_DIVISOR, "LmrDivisor", 182, 1, 2000) \	exact block, unique
adocs/plan_todo/S098_reduction_refinement.md	184	6e0afa0	tests/test_search.cpp	1923-1923	2808-2808	BLOCK	ANCHOR	yes	TEST_CASE_FIXTURE(search_fixture_t, "pruning does not hide a forced mate")	TEST_CASE_FIXTURE(search_fixture_t, "pruning does not hide a forced mate")	exact block, unique
adocs/plan_todo/S098_reduction_refinement.md	185	6e0afa0	tests/test_search.cpp	1962-1962	2847-2847	TITLE	ANCHOR	yes	TEST_CASE_FIXTURE(search_fixture_t,	TEST_CASE_FIXTURE(search_fixture_t,	title "pruning does not hide a mate against the material leader" opens at 2847
adocs/plan_todo/S098_reduction_refinement.md	257	6e0afa0	tests/test_search.cpp	1919-1940	2804-2825	BLOCK	DRIFT	yes	// The reduced search a null move runs must keep at least one real ply. At // zero it is quiescence, which only looks at captures, cannot see a mate two // plies away, and answers with the static scor	// The reduced search a null move runs must keep at least one real ply. At // zero it is quiescence, which only looks at captures, cannot see a mate two // plies away, and answers with the static scor	exact block, unique
adocs/plan_todo/S099_correction_history.md	133	7b54f18	src/chesso.cpp	37-37	48-48	BLOCK	DRIFT	yes	static transposition_table_t tt = {};	static transposition_table_t tt = {};	exact block, unique
adocs/plan_todo/S099_correction_history.md	143	7b54f18	src/search.cpp	479-479	687-687	BLOCK	DRIFT	yes	const bool is_in_check = is_check(game);	const bool is_in_check = is_check(game);	exact block, unique
adocs/plan_todo/S112_quiescence_move_futility.md	3	7b54f18	tests/test_search.cpp	701-701	993-993	BLOCK	ANCHOR	yes	TEST_CASE_FIXTURE(search_fixture_t, "a side in check may not stand pat")	TEST_CASE_FIXTURE(search_fixture_t, "a side in check may not stand pat")	exact block, unique
adocs/plan_todo/S112_quiescence_move_futility.md	3	7b54f18	tests/test_search.cpp	775-775	1067-1067	BLOCK	ANCHOR	yes	TEST_CASE_FIXTURE(search_fixture_t, "mate is recognised at depth zero")	TEST_CASE_FIXTURE(search_fixture_t, "mate is recognised at depth zero")	exact block, unique
adocs/plan_todo/S112_quiescence_move_futility.md	104	7b54f18	src/search.cpp	318-340	467-489	BLOCK	DRIFT	yes	size_t count = 0; for (size_t i = 0; i < n; ++i) { if (!in_check && !MOVE_CAPTURE(moves[i])) { continue; } // A capture that loses material to the recapture is not worth searching: // whatever it lead	size_t count = 0; for (size_t i = 0; i < n; ++i) { if (!in_check && !MOVE_CAPTURE(moves[i])) { continue; } // A capture that loses material to the recapture is not worth searching: // whatever it lead	exact block, unique
adocs/plan_todo/S112_quiescence_move_futility.md	117	7b54f18	src/search_params.hpp	29-32	29-32	HOLD	DRIFT	no	// Not in the set, on purpose: MATE_MAX, MATE_MIN, DRAW_SCORE, MIN, MAX and // GAME_PHASE_MAX are definitions and not settings, and the move-ordering band // constants are excluded because the bands c	// Not in the set, on purpose: MATE_MAX, MATE_MIN, DRAW_SCORE, MIN and // GAME_PHASE_MAX are definitions and not settings, and the move-ordering band // constants are excluded because the bands clear 	HOLD. The comment is still there and still says what is cited; one word was dropped from its first line.
adocs/plan_todo/S112_quiescence_move_futility.md	135	7b54f18	src/search.cpp	677-678	928-929	BLOCK	DRIFT	yes	// is_check() is an attack scan - do not pay for it on captures. const bool is_check_move = is_capture ? false : is_check(game);	// is_check() is an attack scan - do not pay for it on captures. const bool is_check_move = is_capture ? false : is_check(game);	exact block, unique
adocs/plan_todo/S112_quiescence_move_futility.md	164	7b54f18	tests/test_search.cpp	625-639	917-931	BLOCK	DRIFT	yes	static int quiesce(const std::string& fen, int alpha, int beta) { REQUIRE_MESSAGE(load_FEN(fen, &game), ("FEN: " + fen)); static std::atomic_bool never_stop = false; never_stop = false; tt_reset(&tt);	static int quiesce(const std::string& fen, int alpha, int beta) { REQUIRE_MESSAGE(load_FEN(fen, &game), ("FEN: " + fen)); static std::atomic_bool never_stop = false; never_stop = false; tt_reset(&tt);	exact block, unique
adocs/plan_todo/S112_quiescence_move_futility.md	166	7b54f18	src/search.cpp	210-210	302-302	HAND	DRIFT	yes	state->explored_nodes++;	state->explored_nodes++;	quiescence's `state->explored_nodes++`, which is the one the sentence means; negamax's is at 608.
adocs/plan_todo/S112_quiescence_move_futility.md	190	7b54f18	tests/test_search.cpp	701-735	993-1027	BLOCK	ANCHOR	yes	TEST_CASE_FIXTURE(search_fixture_t, "a side in check may not stand pat") { // Black is ahead on material, so standing pat would report a comfortable // score. Black is also in check from the rook on e	TEST_CASE_FIXTURE(search_fixture_t, "a side in check may not stand pat") { // Black is ahead on material, so standing pat would report a comfortable // score. Black is also in check from the rook on e	exact block, unique
adocs/plan_todo/S112_quiescence_move_futility.md	193	7b54f18	tests/test_search.cpp	775-787	1067-1079	BLOCK	ANCHOR	yes	TEST_CASE_FIXTURE(search_fixture_t, "mate is recognised at depth zero") { const std::string fen = "7k/6Q1/6K1/8/8/8/8/8 b - - 0 1"; REQUIRE(load_FEN(fen, &game)); REQUIRE_MESSAGE(position_is_reachable	TEST_CASE_FIXTURE(search_fixture_t, "mate is recognised at depth zero") { const std::string fen = "7k/6Q1/6K1/8/8/8/8/8 b - - 0 1"; REQUIRE(load_FEN(fen, &game)); REQUIRE_MESSAGE(position_is_reachable	exact block, unique
adocs/plan_todo/S112_quiescence_move_futility.md	218	7b54f18	src/search_params.hpp	29-32	29-32	HOLD	DRIFT	no	// Not in the set, on purpose: MATE_MAX, MATE_MIN, DRAW_SCORE, MIN, MAX and // GAME_PHASE_MAX are definitions and not settings, and the move-ordering band // constants are excluded because the bands c	// Not in the set, on purpose: MATE_MAX, MATE_MIN, DRAW_SCORE, MIN and // GAME_PHASE_MAX are definitions and not settings, and the move-ordering band // constants are excluded because the bands clear 	HOLD, same comment as the citation at line 117 of this file.
adocs/plan_todo/S113_probcut.md	104	7b54f18	src/search.hpp	35-40	46-51	BLOCK	DRIFT	yes	int quiescence(int alpha, int beta, size_t ply, size_t qply, game_t* game, search_state_t* state);	int quiescence(int alpha, int beta, size_t ply, size_t qply, game_t* game, search_state_t* state);	exact block, unique
adocs/plan_todo/S113_probcut.md	128	7b54f18	src/transposition_table.hpp	35-41	49-55	BLOCK	DRIFT	yes	void tt_store_entry(transposition_table_t* tt, const board_t* board, int depth, int score, node_type_t type, move_t best_move, int eval = TT_EVAL_NONE);	void tt_store_entry(transposition_table_t* tt, const board_t* board, int depth, int score, node_type_t type, move_t best_move, int eval = TT_EVAL_NONE);	exact block, unique
adocs/plan_todo/S113_probcut.md	155	7b54f18	tests/test_search.cpp	1887-1887	2808-2808	BLOCK	ANCHOR	yes	TEST_CASE_FIXTURE(search_fixture_t, "pruning does not hide a forced mate")	TEST_CASE_FIXTURE(search_fixture_t, "pruning does not hide a forced mate")	exact block, unique
adocs/plan_todo/S113_probcut.md	162	7b54f18	tests/test_search.cpp	1887-1887	2808-2808	BLOCK	ANCHOR	yes	TEST_CASE_FIXTURE(search_fixture_t, "pruning does not hide a forced mate")	TEST_CASE_FIXTURE(search_fixture_t, "pruning does not hide a forced mate")	exact block, unique
adocs/plan_todo/S113_probcut.md	163	7b54f18	tests/test_search.cpp	1926-1926	2847-2847	TITLE	ANCHOR	yes	TEST_CASE_FIXTURE(search_fixture_t,	TEST_CASE_FIXTURE(search_fixture_t,	title "pruning does not hide a mate against the material leader" opens at 2847
adocs/plan_todo/S114_null_move_refinements.md	87	7b54f18	src/search.cpp	571-571	814-814	BLOCK	DRIFT	yes	const int null_reduction = NULL_MOVE_BASE + (depth / NULL_MOVE_DIVISOR);	const int null_reduction = NULL_MOVE_BASE + (depth / NULL_MOVE_DIVISOR);	exact block, unique
adocs/plan_todo/S114_null_move_refinements.md	87	7b54f18	src/search_params.hpp	109-110	181-182	BLOCK	DRIFT	yes	X(NULL_MOVE_BASE, "NullMoveBase", 3, 0, 16) \ X(NULL_MOVE_DIVISOR, "NullMoveDivisor", 6, 1, 64) \	X(NULL_MOVE_BASE, "NullMoveBase", 3, 0, 16) \ X(NULL_MOVE_DIVISOR, "NullMoveDivisor", 6, 1, 64) \	exact block, unique
adocs/plan_todo/S114_null_move_refinements.md	95	7b54f18	tests/test_search.cpp	1887-1887	2808-2808	BLOCK	ANCHOR	yes	TEST_CASE_FIXTURE(search_fixture_t, "pruning does not hide a forced mate")	TEST_CASE_FIXTURE(search_fixture_t, "pruning does not hide a forced mate")	exact block, unique
adocs/plan_todo/S114_null_move_refinements.md	123	7b54f18	tests/test_search.cpp	1887-1887	2808-2808	BLOCK	ANCHOR	yes	TEST_CASE_FIXTURE(search_fixture_t, "pruning does not hide a forced mate")	TEST_CASE_FIXTURE(search_fixture_t, "pruning does not hide a forced mate")	exact block, unique
adocs/plan_todo/S115_aspiration_refinements.md	71	7b54f18	src/search.cpp	833-833	1103-1103	BLOCK	DRIFT	yes	return best_so_far;	return best_so_far;	exact block, unique
adocs/plan_todo/S115_aspiration_refinements.md	108	7b54f18	src/search.cpp	804-826	1074-1096	BLOCK	DRIFT	yes	if (ply == 0) { state->best_move = best_move; // A root fail-high leaves the two disagreeing, and S021 is what made a root // fail-high reachable: before aspiration windows the root was always // sear	if (ply == 0) { state->best_move = best_move; // A root fail-high leaves the two disagreeing, and S021 is what made a root // fail-high reachable: before aspiration windows the root was always // sear	exact block, unique
adocs/plan_todo/S115_aspiration_refinements.md	151	7b54f18	src/chesso.cpp	651-651	678-678	BLOCK	DRIFT	yes	tt_new_search(state.tt);	tt_new_search(state.tt);	exact block, unique
adocs/plan_todo/S115_aspiration_refinements.md	153	7b54f18	src/search.cpp	804-826	1074-1096	BLOCK	DRIFT	yes	if (ply == 0) { state->best_move = best_move; // A root fail-high leaves the two disagreeing, and S021 is what made a root // fail-high reachable: before aspiration windows the root was always // sear	if (ply == 0) { state->best_move = best_move; // A root fail-high leaves the two disagreeing, and S021 is what made a root // fail-high reachable: before aspiration windows the root was always // sear	exact block, unique
adocs/plan_todo/S115_aspiration_refinements.md	157	7b54f18	src/chesso.cpp	820-852	847-879	BLOCK	DRIFT	yes	if (search_result.best_move != 0 && search_result.best_move == previous_best_move) { ++best_move_stability; } else { best_move_stability = 0; } previous_best_move = search_result.best_move; const int 	if (search_result.best_move != 0 && search_result.best_move == previous_best_move) { ++best_move_stability; } else { best_move_stability = 0; } previous_best_move = search_result.best_move; const int 	exact block, unique
adocs/plan_todo/S115_aspiration_refinements.md	176	7b54f18	src/chesso.cpp	820-852	847-879	BLOCK	DRIFT	yes	if (search_result.best_move != 0 && search_result.best_move == previous_best_move) { ++best_move_stability; } else { best_move_stability = 0; } previous_best_move = search_result.best_move; const int 	if (search_result.best_move != 0 && search_result.best_move == previous_best_move) { ++best_move_stability; } else { best_move_stability = 0; } previous_best_move = search_result.best_move; const int 	exact block, unique
adocs/plan_todo/S115_aspiration_refinements.md	189	7b54f18	src/search.cpp	833-833	1103-1103	BLOCK	DRIFT	yes	return best_so_far;	return best_so_far;	exact block, unique
adocs/plan_todo/S115_aspiration_refinements.md	191	7b54f18	src/chesso.cpp	760-760	787-787	BLOCK	DRIFT	yes	alpha = std::max(search_result.score - delta, -SEARCH_SCORE_INF);	alpha = std::max(search_result.score - delta, -SEARCH_SCORE_INF);	exact block, unique
adocs/plan_todo/S116_razoring_depth_one.md	112	7b54f18	tests/test_search.cpp	1887-1887	2808-2808	BLOCK	ANCHOR	yes	TEST_CASE_FIXTURE(search_fixture_t, "pruning does not hide a forced mate")	TEST_CASE_FIXTURE(search_fixture_t, "pruning does not hide a forced mate")	exact block, unique
adocs/plan_todo/S116_razoring_depth_one.md	113	7b54f18	tests/test_search.cpp	1926-1926	2847-2847	HAND	DRIFT	yes	TEST_CASE_FIXTURE(search_fixture_t,	TEST_CASE_FIXTURE(search_fixture_t,	where "pruning does not hide a mate against the material leader" opens now. The title is on the citing line but the pairing rule could not attach it, so this arrived as DRIFT rather than ANCHOR.
adocs/plan_todo/S117_swar_packed_eval_score.md	97	be9a03a	tests/test_search.cpp	1913-1913	2798-2798	BLOCK	DRIFT	yes	REQUIRE_MESSAGE(std::memcmp(&before, &game.board, sizeof(board_t)) == 0,	REQUIRE_MESSAGE(std::memcmp(&before, &game.board, sizeof(board_t)) == 0,	exact block, unique
adocs/plan_todo/S119_tt_cluster_layout.md	17	45a39a5	fastchess.sh	225-225	348-348	BLOCK	DRIFT	yes	-each tc="$tc" option.Hash=16 option.Threads=1 \	-each tc="$tc" option.Hash=16 option.Threads=1 \	exact block, unique
adocs/plan_todo/S120_eval_cache.md	87	ff3a9e0	src/search_params.hpp	164-164	200-200	BLOCK	DRIFT	yes	X(LAZY_EVAL_MARGIN, "LazyEvalMargin", 184, 0, 2000) \	X(LAZY_EVAL_MARGIN, "LazyEvalMargin", 184, 0, 2000) \	exact block, unique
adocs/plan_todo/S120_eval_cache.md	102	ff3a9e0	src/search.cpp	257-257	349-349	HAND	DRIFT	no	: evaluate_lazy(&game->board, alpha, beta, &stand_pat_is_exact);	: evaluate_lazy(&game->board, alpha, beta, &static_eval_is_exact);	the evaluate_lazy() call in quiescence, which is what the sentence cites.
adocs/plan_todo/S120_eval_cache.md	135	ff3a9e0	src/search.cpp	434-434	612-612	BLOCK	DRIFT	yes	if (ply + 1 >= MAX_PLY) { return evaluate(&game->board); }	if (ply + 1 >= MAX_PLY) { return evaluate(&game->board); }	exact block, unique
adocs/plan_todo/S120_eval_cache.md	150	ff3a9e0	src/search.cpp	243-245	335-337	BLOCK	DRIFT	yes	// the field free to read. What is stored is the score and never a bound, so // this is strictly the better of the two numbers: the shortcut would have // handed back cheap +/- LAZY_EVAL_MARGIN at the	// the field free to read. What is stored is the score and never a bound, so // this is strictly the better of the two numbers: the shortcut would have // handed back cheap +/- LAZY_EVAL_MARGIN at the	exact block, unique
adocs/plan_todo/S120_eval_cache.md	191	ff3a9e0	src/search_params.hpp	164-164	200-200	BLOCK	DRIFT	yes	X(LAZY_EVAL_MARGIN, "LazyEvalMargin", 184, 0, 2000) \	X(LAZY_EVAL_MARGIN, "LazyEvalMargin", 184, 0, 2000) \	exact block, unique
adocs/plan_todo/S120_eval_cache.md	206	ff3a9e0	src/chesso.cpp	1128-1128	1155-1155	HAND	DRIFT	yes	tt_reset(&tt);	tt_reset(&tt);	the tt_reset inside command_ucinewgame, which is what the sentence says; the other at 1618 is command_clean_TT.
adocs/plan_todo/S120_eval_cache.md	230	ff3a9e0	src/search.cpp	251-257	343-349	HAND	DRIFT	no	bool stand_pat_is_exact = tt_entry != nullptr && tt_entry->eval != TT_EVAL_NONE; const int stand_pat = stand_pat_is_exact ? tt_entry->eval : evaluate_lazy(&game->board, alpha, beta, &stand_pat_is_exac	bool static_eval_is_exact = tt_entry != nullptr && tt_entry->eval != TT_EVAL_NONE; const int static_eval = static_eval_is_exact ? tt_entry->eval : evaluate_lazy(&game->board, alpha, beta, &static_eval	the same statement pair, renamed: `stand_pat_is_exact` became `static_eval_is_exact` and `stand_pat` became `static_eval` at S130, so no exact block survives to relocate.
adocs/plan_todo/S131_quiescence_promotions.md	3	7b54f18	tests/test_search.cpp	701-701	993-993	BLOCK	ANCHOR	yes	TEST_CASE_FIXTURE(search_fixture_t, "a side in check may not stand pat")	TEST_CASE_FIXTURE(search_fixture_t, "a side in check may not stand pat")	exact block, unique
adocs/plan_todo/S131_quiescence_promotions.md	3	7b54f18	tests/test_search.cpp	775-775	1067-1067	BLOCK	ANCHOR	yes	TEST_CASE_FIXTURE(search_fixture_t, "mate is recognised at depth zero")	TEST_CASE_FIXTURE(search_fixture_t, "mate is recognised at depth zero")	exact block, unique
adocs/plan_todo/S131_quiescence_promotions.md	66	7b54f18	src/search.cpp	313-317	462-466	BLOCK	DRIFT	yes	// The filter still runs when out of check: generate_captures() also emits // promotions that capture nothing, and this node did not search those before. // Keeping them out means this change is a pur	// The filter still runs when out of check: generate_captures() also emits // promotions that capture nothing, and this node did not search those before. // Keeping them out means this change is a pur	exact block, unique
adocs/plan_todo/S131_quiescence_promotions.md	78	7b54f18	src/search.cpp	624-624	875-875	BLOCK	DRIFT	yes	size_t moves_count = generate_captures(game_tables(), &game->board, moves);	size_t moves_count = generate_captures(game_tables(), &game->board, moves);	exact block, unique
adocs/plan_todo/S131_quiescence_promotions.md	88	7b54f18	src/search.cpp	309-311	458-460	BLOCK	DRIFT	yes	// Compacted to the front of the same array: captures only, or everything when // the move is forced. capture_score() ranks a quiet evasion below any // capture, which is the order wanted here too.	// Compacted to the front of the same array: captures only, or everything when // the move is forced. capture_score() ranks a quiet evasion below any // capture, which is the order wanted here too.	exact block, unique
adocs/plan_todo/S131_quiescence_promotions.md	115	7b54f18	tests/test_search.cpp	625-639	917-931	BLOCK	DRIFT	yes	static int quiesce(const std::string& fen, int alpha, int beta) { REQUIRE_MESSAGE(load_FEN(fen, &game), ("FEN: " + fen)); static std::atomic_bool never_stop = false; never_stop = false; tt_reset(&tt);	static int quiesce(const std::string& fen, int alpha, int beta) { REQUIRE_MESSAGE(load_FEN(fen, &game), ("FEN: " + fen)); static std::atomic_bool never_stop = false; never_stop = false; tt_reset(&tt);	exact block, unique
