step	line	cite	method	baseline	written	then_text	now_text	same	reason
adocs/plan_todo/S020_single_check_computation.md	63	:267	BLOCK	9a063d3	src/search.cpp:420	if (!in_check) {	if (!in_check) {	yes	
adocs/plan_todo/S020_single_check_computation.md	63	:295	BLOCK	9a063d3	src/search.cpp:454	const size_t n = in_check	const size_t n = in_check	yes	
adocs/plan_todo/S020_single_check_computation.md	64	:310	BLOCK	9a063d3	src/search.cpp:469	if (!in_check && !MOVE_CAPTURE(moves[i])) { continue; }	if (!in_check && !MOVE_CAPTURE(moves[i])) { continue; }	yes	
adocs/plan_todo/S020_single_check_computation.md	64	:322	BLOCK	9a063d3	src/search.cpp:481	if (!in_check && !capture_cannot_lose(&game->board, moves[i]) &&	if (!in_check && !capture_cannot_lose(&game->board, moves[i]) &&	yes	
adocs/plan_todo/S020_single_check_computation.md	64	:332	BLOCK	9a063d3	src/search.cpp:491	int best_value = in_check ? MIN : stand_pat;	int best_value = in_check ? MIN : stand_pat;	yes	
adocs/plan_todo/S020_single_check_computation.md	65	:370	BLOCK	9a063d3	src/search.cpp:549	if (in_check && legal_moves == 0) {	if (in_check && legal_moves == 0) {	yes	
adocs/plan_todo/S020_single_check_computation.md	66	:295-297	BLOCK	9a063d3	src/search.cpp:454-456	const size_t n = in_check / ? generate_moves(game_tables(), &game->board, moves) / : generate_captures(game_tables(), &game->board, moves);	const size_t n = in_check / ? generate_moves(game_tables(), &game->board, moves) / : generate_captures(game_tables(), &game->board, moves);	yes	
adocs/plan_todo/S020_single_check_computation.md	70	:662	BLOCK	9a063d3	src/search.cpp:929	const bool is_check_move = is_capture ? false : is_check(game);	const bool is_check_move = is_capture ? false : is_check(game);	yes	
adocs/plan_todo/S020_single_check_computation.md	72	:694	BLOCK	9a063d3	src/search.cpp:961	!MOVE_PROMOTED(moves[i]) && !is_in_check && !is_check_move) {	!MOVE_PROMOTED(moves[i]) && !is_in_check && !is_check_move) {	yes	
adocs/plan_todo/S020_single_check_computation.md	76	:280	BLOCK	9a063d3	tools/datagen.cpp:280	const bool not_in_check = !is_check(&game);	const bool not_in_check = !is_check(&game);	yes	
adocs/plan_todo/S020_single_check_computation.md	79	:21	BLOCK	9a063d3	src/bitboard.cpp:21	static inline bool is_attacked_with_occupancy(const bb_tables_t* tables,	static inline bool is_attacked_with_occupancy(const bb_tables_t* tables,	yes	
adocs/plan_todo/S020_single_check_computation.md	82	:68	BLOCK	9a063d3	src/bitboard.cpp:68	static inline bb_t attackers_to(const bb_tables_t* tables,	static inline bb_t attackers_to(const bb_tables_t* tables,	yes	
adocs/plan_todo/S020_single_check_computation.md	101	:614	BLOCK	9a063d3	src/search.cpp:875	size_t moves_count = generate_captures(game_tables(), &game->board, moves);	size_t moves_count = generate_captures(game_tables(), &game->board, moves);	yes	
adocs/plan_todo/S020_single_check_computation.md	102	:614	BLOCK	9a063d3	src/search.cpp:875	size_t moves_count = generate_captures(game_tables(), &game->board, moves);	size_t moves_count = generate_captures(game_tables(), &game->board, moves);	yes	
adocs/plan_todo/S020_single_check_computation.md	102	:621	BLOCK	9a063d3	src/search.cpp:882	generate_quiets(game_tables(), &game->board, moves + moves_count);	generate_quiets(game_tables(), &game->board, moves + moves_count);	yes	
adocs/plan_todo/S020_single_check_computation.md	102	:641	BLOCK	9a063d3	src/search.cpp:902	const size_t added =	const size_t added =	yes	
adocs/plan_todo/S020_single_check_computation.md	104	:641	BLOCK	9a063d3	src/search.cpp:902	const size_t added =	const size_t added =	yes	
adocs/plan_todo/S020_single_check_computation.md	50	:469	BLOCK	9a063d3	src/search.cpp:687	const bool is_in_check = is_check(game);	const bool is_in_check = is_check(game);	yes	
adocs/plan_todo/S020_single_check_computation.md	107	:262	BLOCK	9a063d3	src/search.cpp:415	const bool in_check = is_check(game);	const bool in_check = is_check(game);	yes	
adocs/plan_todo/S020_single_check_computation.md	113	:662	BLOCK	9a063d3	src/search.cpp:929	const bool is_check_move = is_capture ? false : is_check(game);	const bool is_check_move = is_capture ? false : is_check(game);	yes	
adocs/plan_todo/S020_single_check_computation.md	128	:656	HAND	9a063d3	src/search.cpp:917	if (!make_move(game, moves[i])) { continue; }	if (!make_move(game, moves[i])) { continue; }	yes	negamax's `make_move` in the move loop; the identical line in quiescence is :510.
adocs/plan_todo/S020_single_check_computation.md	128	:727	HAND	9a063d3	src/search.cpp:994	unmake_move(game);	unmake_move(game);	yes	negamax's `unmake_move`; quiescence's is :517.
adocs/plan_todo/S020_single_check_computation.md	131	:641	BLOCK	9a063d3	src/search.cpp:902	const size_t added =	const size_t added =	yes	
adocs/plan_todo/S020_single_check_computation.md	133	:268-277	HAND	9a063d3	src/search.cpp:421-436	if (stand_pat >= beta) { / // The most common thing quiescence ever concludes, and it is worth / // keeping: evaluate_lazy() returns a genuine lower bound on this branch, / // and the option to stand pat makes it a lower bound on the node too, / // whatever the ply cap does below. There is no move t	if (stand_pat >= beta) { / // The most common thing quiescence ever concludes, and it is worth / // keeping: evaluate_lazy() returns a genuine lower bound on this branch, / // and the option to stand pat makes it a lower bound on the node too, / // whatever the ply cap does below. There is no move t	no	quiescence's stand-pat store-and-return. DEC-102 added six comment lines inside the block, so the span grew with it.
adocs/plan_todo/S020_single_check_computation.md	134	:262	BLOCK	9a063d3	src/search.cpp:415	const bool in_check = is_check(game);	const bool in_check = is_check(game);	yes	
adocs/plan_todo/S020_single_check_computation.md	136	:287	BLOCK	9a063d3	src/search.cpp:446	if (static_cast<int>(qply) >= MAX_QSEARCH_DEPTH) { return stand_pat; }	if (static_cast<int>(qply) >= MAX_QSEARCH_DEPTH) { return stand_pat; }	yes	
adocs/plan_todo/S020_single_check_computation.md	163	:636-652	BLOCK	9a063d3	src/search.cpp:897-913	if (i == moves_count) { / // The captures ran out without a cutoff, so the quiets are needed after / // all. This is the branch staging exists to avoid. / if (quiets_generated) { break; } /  / const size_t added = / generate_quiets(game_tables(), &game->board, moves + moves_count); /  / for (size_t 	if (i == moves_count) { / // The captures ran out without a cutoff, so the quiets are needed after / // all. This is the branch staging exists to avoid. / if (quiets_generated) { break; } /  / const size_t added = / generate_quiets(game_tables(), &game->board, moves + moves_count); /  / for (size_t 	yes	
adocs/plan_todo/S022_delta_pruning_quiescence.md	83	:332-335	BLOCK	7b54f18	src/search.cpp:481-484	if (!in_check && !capture_cannot_lose(&game->board, moves[i]) && / !see_ge(&game->board, moves[i], 0)) { / continue; / }	if (!in_check && !capture_cannot_lose(&game->board, moves[i]) && / !see_ge(&game->board, moves[i], 0)) { / continue; / }	yes	
adocs/plan_todo/S022_delta_pruning_quiescence.md	83	:322	BLOCK	c0954ec	src/search.cpp:481	if (!in_check && !capture_cannot_lose(&game->board, moves[i]) &&	if (!in_check && !capture_cannot_lose(&game->board, moves[i]) &&	yes	
adocs/plan_todo/S022_delta_pruning_quiescence.md	90	:332	BLOCK	c0954ec	src/search.cpp:491	int best_value = in_check ? MIN : stand_pat;	int best_value = in_check ? MIN : stand_pat;	yes	
adocs/plan_todo/S022_delta_pruning_quiescence.md	83	:310	BLOCK	c0954ec	src/search.cpp:469	if (!in_check && !MOVE_CAPTURE(moves[i])) { continue; }	if (!in_check && !MOVE_CAPTURE(moves[i])) { continue; }	yes	
adocs/plan_todo/S022_delta_pruning_quiescence.md	102	:287	BLOCK	c0954ec	src/search.cpp:446	if (static_cast<int>(qply) >= MAX_QSEARCH_DEPTH) { return stand_pat; }	if (static_cast<int>(qply) >= MAX_QSEARCH_DEPTH) { return stand_pat; }	yes	
adocs/plan_todo/S022_delta_pruning_quiescence.md	102	:289	HAND	c0954ec	src/search.cpp:448	move_t moves[MAX_MOVES];	move_t moves[MAX_MOVES];	yes	quiescence's `move_t moves[MAX_MOVES];`, the generation the sentence puts the early-out before; negamax's identical line is :846.
adocs/plan_todo/S022_delta_pruning_quiescence.md	109	:387-390	HAND	c0954ec	src/search.cpp:576-578	tt_store_entry(state->tt, &game->board, TT_DEPTH_QS, / normalize_score(best_value, ply), / (best_value > alpha0) ? TT_PV_NODE : TT_ALPHA_NODE, best_move, / stored_eval);	tt_store_entry(state->tt, &game->board, TT_DEPTH_QS, / normalize_score(best_value, ply), stored_type, best_move, / stored_eval);	no	quiescence's final tt_store_entry, now three lines rather than four: DEC-102 hoisted the node type into `stored_type` above it.
adocs/plan_todo/S022_delta_pruning_quiescence.md	110	:287	BLOCK	c0954ec	src/search.cpp:446	if (static_cast<int>(qply) >= MAX_QSEARCH_DEPTH) { return stand_pat; }	if (static_cast<int>(qply) >= MAX_QSEARCH_DEPTH) { return stand_pat; }	yes	
adocs/plan_todo/S022_delta_pruning_quiescence.md	123	:322-325	BLOCK	c0954ec	src/search.cpp:481-484	if (!in_check && !capture_cannot_lose(&game->board, moves[i]) && / !see_ge(&game->board, moves[i], 0)) { / continue; / }	if (!in_check && !capture_cannot_lose(&game->board, moves[i]) && / !see_ge(&game->board, moves[i], 0)) { / continue; / }	yes	
adocs/plan_todo/S022_delta_pruning_quiescence.md	89	:322	BLOCK	c0954ec	src/search.cpp:481	if (!in_check && !capture_cannot_lose(&game->board, moves[i]) &&	if (!in_check && !capture_cannot_lose(&game->board, moves[i]) &&	yes	
adocs/plan_todo/S022_delta_pruning_quiescence.md	190	:387-390	HAND	c0954ec	src/search.cpp:576-578	tt_store_entry(state->tt, &game->board, TT_DEPTH_QS, / normalize_score(best_value, ply), / (best_value > alpha0) ? TT_PV_NODE : TT_ALPHA_NODE, best_move, / stored_eval);	tt_store_entry(state->tt, &game->board, TT_DEPTH_QS, / normalize_score(best_value, ply), stored_type, best_move, / stored_eval);	no	the same store, cited a second time.
adocs/plan_todo/S022_delta_pruning_quiescence.md	114	:571	BLOCK	c0954ec	src/search.cpp:824	game_phase(&game->board) > 0) {	game_phase(&game->board) > 0) {	yes	
adocs/plan_todo/S022_delta_pruning_quiescence.md	205	:370	BLOCK	c0954ec	src/search.cpp:549	if (in_check && legal_moves == 0) {	if (in_check && legal_moves == 0) {	yes	
adocs/plan_todo/S055_taper_stage_two_once.md	128	:953-954	BLOCK	9a063d3	src/evaluation.cpp:1010-1011	const int safety = / (safety_mg_sum * phase + safety_eg_sum * endgame) / GAME_PHASE_MAX;	const int safety = / (safety_mg_sum * phase + safety_eg_sum * endgame) / GAME_PHASE_MAX;	yes	
adocs/plan_todo/S055_taper_stage_two_once.md	132	:337-359	BLOCK	9a063d3	tests/test_eval_model.cpp:236-258	// evaluate() interpolates in integers and truncates towards zero, and it / // does that four separate times, each rounding on its own, so the / // arithmetic alone can differ from the model's floating point by more / // than one centipawn. The four divisions by GAME_PHASE_MAX are, in the / // order	// evaluate() interpolates in integers and truncates towards zero, and it / // does that four separate times, each rounding on its own, so the / // arithmetic alone can differ from the model's floating point by more / // than one centipawn. The four divisions by GAME_PHASE_MAX are, in the / // order	yes	
adocs/plan_todo/S055_taper_stage_two_once.md	133	:405-446	BLOCK	9a063d3	tests/test_eval_model.cpp:304-345	TEST_CASE_FIXTURE(model_fixture_t, / "the pinned positions reach the truncation bound") / { / // As a variable because doctest decomposes the expression it is handed and / // refuses a `&&` inside one. / const bool tempo_unfitted = (tempo_mg == 0) && (tempo_eg == 0); /  / CHECK_MESSAGE(tempo_unfitte	TEST_CASE_FIXTURE(model_fixture_t, / "the pinned positions reach the truncation bound") / { / // As a variable because doctest decomposes the expression it is handed and / // refuses a `&&` inside one. / const bool tempo_unfitted = (tempo_mg == 0) && (tempo_eg == 0); /  / CHECK_MESSAGE(tempo_unfitte	yes	
adocs/plan_todo/S055_taper_stage_two_once.md	134	:410-415	BLOCK	9a063d3	tests/test_eval_model.cpp:309-314	const bool tempo_unfitted = (tempo_mg == 0) && (tempo_eg == 0); /  / CHECK_MESSAGE(tempo_unfitted, / "tempo is fitted, so all four taperings can truncate: the " / "bound is now 4 x 23/24 = 3.833 and the tolerance in \"the " / "model reproduces evaluate() on every phase\" has to be 4");	const bool tempo_unfitted = (tempo_mg == 0) && (tempo_eg == 0); /  / CHECK_MESSAGE(tempo_unfitted, / "tempo is fitted, so all four taperings can truncate: the " / "bound is now 4 x 23/24 = 3.833 and the tolerance in \"the " / "model reproduces evaluate() on every phase\" has to be 4");	yes	
adocs/plan_todo/S055_taper_stage_two_once.md	135	:436	BLOCK	9a063d3	tests/test_eval_model.cpp:335	CHECK_MESSAGE(difference > 2.0,	CHECK_MESSAGE(difference > 2.0,	yes	
adocs/plan_todo/S055_taper_stage_two_once.md	136	:444	BLOCK	9a063d3	tests/test_eval_model.cpp:343	CHECK_MESSAGE(worst > 2.8, ("worst pinned difference " +	CHECK_MESSAGE(worst > 2.8, ("worst pinned difference " +	yes	
adocs/plan_todo/S055_taper_stage_two_once.md	137	:231-236	BLOCK	9a063d3	tests/test_eval_model.cpp:130-135	static const std::vector<std::string> truncation_positions = { / "8/8/8/6k1/1p1pr3/1Pp4P/2P2KP1/1N1R4 b - - 1 44", / "1n6/1p2np2/3k2p1/3P4/8/5BPP/r1b2PN1/1R2K2R w K - 6 33", / "r1b2rk1/1p1p2p1/p2pq2p/5B2/2PppP2/P2P2Q1/1P1N2PP/2R2RK1 b - - 0 18", / "r2qkb1r/pp1b1ppp/3p4/2p1p3/2PnP3/2NP4/PP4PP/R1BQKBN	static const std::vector<std::string> truncation_positions = { / "8/8/8/6k1/1p1pr3/1Pp4P/2P2KP1/1N1R4 b - - 1 44", / "1n6/1p2np2/3k2p1/3P4/8/5BPP/r1b2PN1/1R2K2R w K - 6 33", / "r1b2rk1/1p1p2p1/p2pq2p/5B2/2PppP2/P2P2Q1/1P1N2PP/2R2RK1 b - - 0 18", / "r2qkb1r/pp1b1ppp/3p4/2p1p3/2PnP3/2NP4/PP4PP/R1BQKBN	yes	
adocs/plan_todo/S055_taper_stage_two_once.md	77	:973-974	BLOCK	9a063d3	tools/eval_model.hpp:973-974	double stage_two = (mobility_mg_sum + king_safety_mg_sum) * mg_weight + / (mobility_eg_sum + king_safety_eg_sum) * eg_weight;	double stage_two = (mobility_mg_sum + king_safety_mg_sum) * mg_weight + / (mobility_eg_sum + king_safety_eg_sum) * eg_weight;	yes	
adocs/plan_todo/S055_taper_stage_two_once.md	123	:640-643	BLOCK	9a063d3	src/evaluation.cpp:697-700	const int positional = / (((board->psqt_mg + pawn_mg) * phase) + / ((board->psqt_eg + pawn_eg) * (GAME_PHASE_MAX - phase))) / / GAME_PHASE_MAX;	const int positional = / (((board->psqt_mg + pawn_mg) * phase) + / ((board->psqt_eg + pawn_eg) * (GAME_PHASE_MAX - phase))) / / GAME_PHASE_MAX;	yes	
adocs/plan_todo/S055_taper_stage_two_once.md	169	:690	BLOCK	9a063d3	src/evaluation.cpp:747	const int mobility_mg[4] = {-1, 5, 8, 3};  // knight bishop rook queen	const int mobility_mg[4] = {-1, 5, 8, 3};  // knight bishop rook queen	yes	
adocs/plan_todo/S055_taper_stage_two_once.md	169	:691	BLOCK	9a063d3	src/evaluation.cpp:748	const int mobility_eg[4] = {0, 5, 0, -6};	const int mobility_eg[4] = {0, 5, 0, -6};	yes	
adocs/plan_todo/S055_taper_stage_two_once.md	170	:901-902	BLOCK	9a063d3	src/evaluation.cpp:958-959	mobility_mg_sum += mover * count * mobility_mg[type]; / mobility_eg_sum += mover * count * mobility_eg[type];	mobility_mg_sum += mover * count * mobility_mg[type]; / mobility_eg_sum += mover * count * mobility_eg[type];	yes	
adocs/plan_todo/S055_taper_stage_two_once.md	174	:956-958	BLOCK	9a063d3	src/evaluation.cpp:1013-1015	if constexpr (collect) { / if (mobility_out != nullptr) { *mobility_out = mobility; } / if (safety_out != nullptr) { *safety_out = safety; }	if constexpr (collect) { / if (mobility_out != nullptr) { *mobility_out = mobility; } / if (safety_out != nullptr) { *safety_out = safety; }	yes	
adocs/plan_todo/S055_taper_stage_two_once.md	175	:1005	BLOCK	9a063d3	src/evaluation.cpp:1066	void evaluate_expensive_terms(const board_t* board, int* mobility, int* safety)	void evaluate_expensive_terms(const board_t* board, int* mobility, int* safety)	yes	
adocs/plan_todo/S055_taper_stage_two_once.md	178	:481-484	BLOCK	9a063d3	tests/test_evaluation.cpp:484-487	REQUIRE_MESSAGE( / std::clamp(raw, -LAZY_EVAL_MARGIN, LAZY_EVAL_MARGIN) == applied, / ("FEN: " + fen + " raw " + std::to_string(raw) + " applied " + / std::to_string(applied)));	REQUIRE_MESSAGE( / std::clamp(raw, -LAZY_EVAL_MARGIN, LAZY_EVAL_MARGIN) == applied, / ("FEN: " + fen + " raw " + std::to_string(raw) + " applied " + / std::to_string(applied)));	yes	
adocs/plan_todo/S055_taper_stage_two_once.md	105	:984	BLOCK	9a063d3	src/evaluation.cpp:1045	const int bounded = std::clamp(score, -LAZY_EVAL_MARGIN, LAZY_EVAL_MARGIN);	const int bounded = std::clamp(score, -LAZY_EVAL_MARGIN, LAZY_EVAL_MARGIN);	yes	
adocs/plan_todo/S055_taper_stage_two_once.md	183	:976-977	BLOCK	9a063d3	tools/eval_model.hpp:976-977	if (stage_two > LAZY_EVAL_MARGIN) { stage_two = LAZY_EVAL_MARGIN; } / if (stage_two < -LAZY_EVAL_MARGIN) { stage_two = -LAZY_EVAL_MARGIN; }	if (stage_two > LAZY_EVAL_MARGIN) { stage_two = LAZY_EVAL_MARGIN; } / if (stage_two < -LAZY_EVAL_MARGIN) { stage_two = -LAZY_EVAL_MARGIN; }	yes	
adocs/plan_todo/S055_taper_stage_two_once.md	186	:638-639	BLOCK	9a063d3	src/evaluation.cpp:695-696	// which is what keeps test_eval_model's one-centipawn slack against the / // tuner's floating-point model from having to grow.	// which is what keeps test_eval_model's one-centipawn slack against the / // tuner's floating-point model from having to grow.	yes	
adocs/plan_todo/S055_taper_stage_two_once.md	186	:662	BLOCK	9a063d3	src/evaluation.cpp:719	// tuner's floating-point model -- test_eval_model allows two and this widens	// tuner's floating-point model -- test_eval_model allows two and this widens	yes	
adocs/plan_todo/S055_taper_stage_two_once.md	216	:1038	BLOCK	9a063d3	src/evaluation.cpp:1099	if (cheap - LAZY_EVAL_MARGIN >= beta) { return cheap - LAZY_EVAL_MARGIN; }	if (cheap - LAZY_EVAL_MARGIN >= beta) { return cheap - LAZY_EVAL_MARGIN; }	yes	
adocs/plan_todo/S091_see_pruning_main_search.md	99	:1185	BLOCK	c0954ec	src/bitboard.cpp:1185	bool see_ge(const board_t* board, move_t move, int threshold)	bool see_ge(const board_t* board, move_t move, int threshold)	yes	
adocs/plan_todo/S091_see_pruning_main_search.md	100	:1196-1201	BLOCK	c0954ec	src/bitboard.cpp:1196-1201	if (MOVE_EN_PASSANT(move)) { / const index_t victim = static_cast<index_t>( / (board->active_color == WHITE) ? (to + 8) : (to - 8)); /  / occupancy ^= BB_1 << victim; / gain = see_value[0];	if (MOVE_EN_PASSANT(move)) { / const index_t victim = static_cast<index_t>( / (board->active_color == WHITE) ? (to + 8) : (to - 8)); /  / occupancy ^= BB_1 << victim; / gain = see_value[0];	yes	
adocs/plan_todo/S091_see_pruning_main_search.md	101	:1209-1212	BLOCK	c0954ec	src/bitboard.cpp:1209-1212	if (MOVE_PROMOTED(move)) { / gain += see_value[MOVE_PROMOTED(move)] - see_value[0]; / on_square = MOVE_PROMOTED(move); / }	if (MOVE_PROMOTED(move)) { / gain += see_value[MOVE_PROMOTED(move)] - see_value[0]; / on_square = MOVE_PROMOTED(move); / }	yes	
adocs/plan_todo/S091_see_pruning_main_search.md	102	:1160	BLOCK	c0954ec	src/bitboard.cpp:1160	bool capture_cannot_lose(const board_t* board, move_t move)	bool capture_cannot_lose(const board_t* board, move_t move)	yes	
adocs/plan_todo/S091_see_pruning_main_search.md	104	:1096	BLOCK	c0954ec	src/bitboard.cpp:1096	static constexpr int see_value[6] = {100, 300, 300, 500, 900, 10000};	static constexpr int see_value[6] = {100, 300, 300, 500, 900, 10000};	yes	
adocs/plan_todo/S091_see_pruning_main_search.md	116	:205	HAND	7b54f18	src/search.cpp:205	game_t* game,	static_assert(TT_DEPTH_QS < 0,	no	**Historical, and deliberately not moved.** The sentence records what the excludes line read before S138 re-anchored it. The path is what was missing; the number is the record.
adocs/plan_todo/S091_see_pruning_main_search.md	119	:624	BLOCK	7b54f18	src/search.cpp:875	size_t moves_count = generate_captures(game_tables(), &game->board, moves);	size_t moves_count = generate_captures(game_tables(), &game->board, moves);	yes	
adocs/plan_todo/S091_see_pruning_main_search.md	120	:654	BLOCK	c0954ec	src/search.cpp:915	pick_next_move(moves, scores, moves_count, i);	pick_next_move(moves, scores, moves_count, i);	yes	
adocs/plan_todo/S091_see_pruning_main_search.md	120	:656	HAND	c0954ec	src/search.cpp:917	if (!make_move(game, moves[i])) { continue; }	if (!make_move(game, moves[i])) { continue; }	yes	negamax's `make_move`, the pre-make seam the capture skip sits in.
adocs/plan_todo/S091_see_pruning_main_search.md	121	:658	BLOCK	c0954ec	src/search.cpp:919	const bool is_capture = MOVE_CAPTURE(moves[i]);	const bool is_capture = MOVE_CAPTURE(moves[i]);	yes	
adocs/plan_todo/S091_see_pruning_main_search.md	122	:654	BLOCK	c0954ec	src/search.cpp:915	pick_next_move(moves, scores, moves_count, i);	pick_next_move(moves, scores, moves_count, i);	yes	
adocs/plan_todo/S091_see_pruning_main_search.md	123	:656	HAND	c0954ec	src/search.cpp:917	if (!make_move(game, moves[i])) { continue; }	if (!make_move(game, moves[i])) { continue; }	yes	the same line, the second half of `between :654 and :656`.
adocs/plan_todo/S091_see_pruning_main_search.md	124	:469	BLOCK	c0954ec	src/search.cpp:687	const bool is_in_check = is_check(game);	const bool is_in_check = is_check(game);	yes	
adocs/plan_todo/S091_see_pruning_main_search.md	126	:779-781	BLOCK	c0954ec	src/search.cpp:1065-1067	if (legal_moves_counter == 0) { / return is_in_check ? -(MATE_MAX - static_cast<int>(ply)) : DRAW_SCORE; / }	if (legal_moves_counter == 0) { / return is_in_check ? -(MATE_MAX - static_cast<int>(ply)) : DRAW_SCORE; / }	yes	
adocs/plan_todo/S091_see_pruning_main_search.md	128	:511-512	BLOCK	c0954ec	src/search.cpp:765-766	if (!is_pv && !is_in_check && static_cast<int>(ply) >= RFP_MIN_PLY && / depth <= RFP_MAX_DEPTH && beta < MATE_MIN && beta > -MATE_MIN) {	if (!is_pv && !is_in_check && static_cast<int>(ply) >= RFP_MIN_PLY && / depth <= RFP_MAX_DEPTH && beta < MATE_MIN && beta > -MATE_MIN) {	yes	
adocs/plan_todo/S091_see_pruning_main_search.md	129	:691-699	BLOCK	c0954ec	src/search.cpp:958-966	int reduction = 0; /  / if (ply > 0 && depth >= 3 && legal_moves_counter > 3 && !is_capture && / !MOVE_PROMOTED(moves[i]) && !is_in_check && !is_check_move) { / reduction = lmr_reduction(depth, static_cast<int>(legal_moves_counter)); /  / if (reduction > child_depth - 1) { reduction = child_depth - 	int reduction = 0; /  / if (ply > 0 && depth >= 3 && legal_moves_counter > 3 && !is_capture && / !MOVE_PROMOTED(moves[i]) && !is_in_check && !is_check_move) { / reduction = lmr_reduction(depth, static_cast<int>(legal_moves_counter)); /  / if (reduction > child_depth - 1) { reduction = child_depth - 	yes	
adocs/plan_todo/S091_see_pruning_main_search.md	131	:693-694	BLOCK	c0954ec	src/search.cpp:960-961	if (ply > 0 && depth >= 3 && legal_moves_counter > 3 && !is_capture && / !MOVE_PROMOTED(moves[i]) && !is_in_check && !is_check_move) {	if (ply > 0 && depth >= 3 && legal_moves_counter > 3 && !is_capture && / !MOVE_PROMOTED(moves[i]) && !is_in_check && !is_check_move) {	yes	
adocs/plan_todo/S091_see_pruning_main_search.md	132	:695	BLOCK	c0954ec	src/search.cpp:962	reduction = lmr_reduction(depth, static_cast<int>(legal_moves_counter));	reduction = lmr_reduction(depth, static_cast<int>(legal_moves_counter));	yes	
adocs/plan_todo/S091_see_pruning_main_search.md	134	:697	BLOCK	c0954ec	src/search.cpp:964	if (reduction > child_depth - 1) { reduction = child_depth - 1; }	if (reduction > child_depth - 1) { reduction = child_depth - 1; }	yes	
adocs/plan_todo/S091_see_pruning_main_search.md	135	:662	BLOCK	c0954ec	src/search.cpp:929	const bool is_check_move = is_capture ? false : is_check(game);	const bool is_check_move = is_capture ? false : is_check(game);	yes	
adocs/plan_todo/S091_see_pruning_main_search.md	179	:779-781	BLOCK	c0954ec	src/search.cpp:1065-1067	if (legal_moves_counter == 0) { / return is_in_check ? -(MATE_MAX - static_cast<int>(ply)) : DRAW_SCORE; / }	if (legal_moves_counter == 0) { / return is_in_check ? -(MATE_MAX - static_cast<int>(ply)) : DRAW_SCORE; / }	yes	
adocs/plan_todo/S091_see_pruning_main_search.md	107	:2354	BLOCK	7b54f18	tests/test_search.cpp:3275	TEST_SUITE("search: see_ge agrees with see")	TEST_SUITE("search: see_ge agrees with see")	yes	
